Track Album Name,Track Name,Artist Name,Track Popularity,Date Added
Harry's House,As It Was,Harry Styles,95,2022-05-30 17:40:43+00:00
Pressure (feat. Tove Lo),Pressure (feat. Tove Lo),Martin Garrix,67,2022-05-27 15:12:11+00:00
Notion,Notion,The Rare Occasions,84,2022-05-23 22:38:58+00:00
Foreigner (Expanded),Cold as Ice,Foreigner,73,2022-05-23 14:34:51+00:00
Heat Waves,Heat Waves,Glass Animals,91,2022-05-20 23:33:22+00:00
Mr. Morale & The Big Steppers,N95,Kendrick Lamar,81,2022-05-20 12:11:32+00:00
Mr. Morale & The Big Steppers,Father Time (feat. Sampha),Kendrick Lamar,74,2022-05-20 12:10:25+00:00
Mr. Morale & The Big Steppers,Die Hard,Kendrick Lamar,78,2022-05-17 08:13:32+00:00
Mr. Morale & The Big Steppers,Mr. Morale,Kendrick Lamar,66,2022-05-13 13:26:01+00:00
Mr. Morale & The Big Steppers,Crown,Kendrick Lamar,62,2022-05-13 12:47:34+00:00
Pretty Girls Like Trap Music,4 AM,2 Chainz,65,2022-05-13 10:36:25+00:00
Mr. Morale & The Big Steppers,Count Me Out,Kendrick Lamar,77,2022-05-13 10:06:15+00:00
Mr. Morale & The Big Steppers,Rich Spirit,Kendrick Lamar,78,2022-05-13 10:05:02+00:00
Mr. Morale & The Big Steppers,Silent Hill,Kendrick Lamar,70,2022-05-13 09:57:38+00:00
Mr. Morale & The Big Steppers,Savior,Kendrick Lamar,69,2022-05-13 09:51:00+00:00
I NEVER LIKED YOU,I'M ON ONE (feat. Drake),Future,68,2022-05-07 18:20:12+00:00
I NEVER LIKED YOU,WAIT FOR U (feat. Drake & Tems),Future,86,2022-05-07 12:50:28+00:00
Tuff,Tuff,Jaah SLT,69,2022-05-07 12:49:19+00:00
Rocking A Cardigan in Atlanta,Rocking A Cardigan in Atlanta,lil Shordie Scott,63,2022-04-10 20:54:38+00:00
Silly How I Feel,Silly How I Feel,Unlike Pluto,30,2022-04-09 18:44:46+00:00
Caravelle,Nanã,Polo & Pan,66,2022-04-09 11:19:03+00:00
Savage Mode,Mad High,21 Savage,49,2022-04-04 22:22:53+00:00
Without Warning,My Choppa Hate Niggas,21 Savage,73,2022-04-03 11:33:01+00:00
Future & Juice WRLD Present... WRLD ON DRUGS,Fine China,Future,74,2022-03-28 12:26:44+00:00
Certified Lover Boy,Knife Talk (with 21 Savage ft. Project Pat),Drake,83,2022-03-20 22:46:19+00:00
Bones,Bones,Imagine Dragons,82,2022-03-15 15:54:39+00:00
KIRK,TOES (feat. Lil Baby & Moneybagg Yo),DaBaby,70,2022-03-14 17:27:27+00:00
Human After All,Robot Rock,Daft Punk,60,2022-03-08 08:55:54+00:00
Get Lucky (Radio Edit) [feat. Pharrell Williams and Nile Rodgers],Get Lucky (Radio Edit) [feat. Pharrell Williams and Nile Rodgers],Daft Punk,83,2022-03-07 20:47:38+00:00
Homework,Around the World,Daft Punk,75,2022-03-06 21:42:14+00:00
Love Tonight,Love Tonight (Edit),Shouse,74,2022-02-20 18:55:54+00:00
Let's Get It (Remix) [feat. 21 Savage],Let's Get It (Remix) [feat. 21 Savage],Hunxho,55,2022-02-19 13:02:32+00:00
Random Access Memories,Giorgio by Moroder,Daft Punk,65,2022-02-09 13:58:08+00:00
Sahara,Sahara,Hensonn,77,2022-02-08 15:09:24+00:00
200 KM/H In The Wrong Lane (10th Anniversary Edition),All The Things She Said,t.A.T.u.,79,2022-02-05 16:32:25+00:00
Don't Play That,Don't Play That,King Von,62,2022-02-04 23:16:03+00:00
No Debate,No Debate,TuneWarrior,0,2022-02-02 11:51:16+00:00
Big Smoke,Big Smoke,TuneWarrior,0,2022-02-02 11:51:12+00:00
Arif V 216 (Orijinal Film Müzikleri),Araba,Cem Yılmaz,28,2022-02-02 11:45:03+00:00
DS4EVER,pushin P (feat. Young Thug),Gunna,76,2022-01-30 17:55:27+00:00
Surround Sound (feat. 21 Savage & Baby Tate),Surround Sound (feat. 21 Savage & Baby Tate),JID,94,2022-01-18 20:49:00+00:00
DS4EVER,too easy,Gunna,65,2022-01-09 23:50:03+00:00
DS4EVER,thought i was playing,Gunna,67,2022-01-07 07:51:21+00:00
DAMN.,FEEL.,Kendrick Lamar,69,2021-12-30 09:01:13+00:00
DAMN.,YAH.,Kendrick Lamar,69,2021-12-30 08:57:18+00:00
If You're Reading This It's Too Late,Used To,Drake,61,2021-12-19 14:33:56+00:00
If You're Reading This It's Too Late,10 Bands,Drake,67,2021-12-19 14:18:06+00:00
0 To 100 / The Catch Up,0 To 100 / The Catch Up,Drake,72,2021-12-19 14:13:32+00:00
Tha Carter III,A Milli,Lil Wayne,72,2021-12-17 15:07:22+00:00
If You're Reading This It's Too Late,10 Bands,Drake,67,2021-12-17 14:57:40+00:00
"All Is Wild, All Is Silent",Remembrance,Balmorhea,69,2021-12-13 20:45:27+00:00
MUDBOY,Live Sheck Wes,Sheck Wes,59,2021-11-30 13:01:06+00:00
GNAR Lif3,Drop Top Benz (feat. Lil Skies),Lil Gnar,42,2021-11-30 12:58:35+00:00
"good kid, m.A.A.d city",Real,Kendrick Lamar,50,2021-11-29 13:47:39+00:00
To Pimp A Butterfly,u,Kendrick Lamar,64,2021-11-29 12:19:57+00:00
DAMN. COLLECTORS EDITION.,DNA.,Kendrick Lamar,46,2021-11-29 10:29:35+00:00
DAMN. COLLECTORS EDITION.,BLOOD.,Kendrick Lamar,40,2021-11-29 10:29:29+00:00
DAMN. COLLECTORS EDITION.,XXX. FEAT. U2.,Kendrick Lamar,45,2021-11-29 10:29:19+00:00
DAMN. COLLECTORS EDITION.,HUMBLE.,Kendrick Lamar,49,2021-11-29 10:29:12+00:00
DAMN. COLLECTORS EDITION.,ELEMENT.,Kendrick Lamar,45,2021-11-29 10:28:58+00:00
DAMN. COLLECTORS EDITION.,GOD.,Kendrick Lamar,44,2021-11-29 10:28:52+00:00
DAMN. COLLECTORS EDITION.,DUCKWORTH.,Kendrick Lamar,49,2021-11-29 04:33:40+00:00
DAMN.,FEAR.,Kendrick Lamar,69,2021-11-29 04:28:51+00:00
"good kid, m.A.A.d city",Poetic Justice,Kendrick Lamar,66,2021-11-29 04:26:47+00:00
Everybody Looking,Back on Road,Gucci Mane,53,2021-11-27 13:13:11+00:00
DR. EV4L,Child's Play (feat. 21 Savage),Young Nudy,58,2021-11-20 19:55:18+00:00
Good Intentions,Turks (with Gunna & ft. Travis Scott),NAV,67,2021-11-20 19:49:18+00:00
Punk,Bubbly (with Drake & Travis Scott),Young Thug,72,2021-11-19 11:09:11+00:00
Favourite Worst Nightmare,505,Arctic Monkeys,88,2021-11-14 12:33:01+00:00
ESCAPE PLAN / MAFIA,MAFIA,Travis Scott,72,2021-11-08 07:00:17+00:00
ESCAPE PLAN / MAFIA,ESCAPE PLAN,Travis Scott,73,2021-11-08 07:00:17+00:00
Dalga,Dalga,Batuflex,65,2021-10-18 19:39:50+00:00
Donda,Praise God,Kanye West,78,2021-09-24 07:28:35+00:00
Certified Lover Boy,Fair Trade (with Travis Scott),Drake,86,2021-09-06 08:51:54+00:00
Certified Lover Boy,No Friends In The Industry,Drake,73,2021-09-06 08:51:41+00:00
family ties (with Kendrick Lamar),family ties (with Kendrick Lamar),Baby Keem,75,2021-09-02 22:56:48+00:00
SremmLife 2 (Deluxe),Swang,Rae Sremmurd,77,2021-09-02 22:20:13+00:00
SAVAGE MODE II,Glock In My Lap,21 Savage,87,2021-08-30 13:14:55+00:00
INDUSTRY BABY (feat. Jack Harlow),INDUSTRY BABY (feat. Jack Harlow),Lil Nas X,81,2021-08-29 18:33:41+00:00
Head Up,Head Up,The Score,52,2021-08-26 16:17:09+00:00
"good kid, m.A.A.d city",Money Trees,Kendrick Lamar,84,2021-08-26 13:10:31+00:00
Issa Album,Close My Eyes,21 Savage,51,2021-08-22 16:37:54+00:00
Vierge,Influenceur,ascendant vierge,56,2021-08-20 11:01:07+00:00
Swimming Pools (Drank),Swimming Pools (Drank),Kendrick Lamar,84,2021-08-19 21:10:10+00:00
Friday (feat. Mufasa & Hypeman) [Dopamine Re-Edit],Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,Riton,81,2021-08-17 14:11:03+00:00
2014 Forest Hills Drive,Apparently,J. Cole,72,2021-08-17 08:04:01+00:00
2014 Forest Hills Drive,No Role Modelz,J. Cole,91,2021-08-17 07:49:14+00:00
